Time,Name,Email,Details
2019-07-12 16:28:48.446 ,jak ,yhgiikui@gmail.com ,[(0.004) SELECT "django_session"."session_key". "django_session"."session_data". "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2019-07-12 16:28:48.437230' AND "django_session"."session_key" = '01x9z2p3jve96vmr8kdu6k20zfsj5sfe'); args=('2019-07-12 16:28:48.437230'. '01x9z2p3jve96vmr8kdu6k20zfsj5sfe')]
2019-07-12 16:28:48.453 ,jak ,yhgiikui@gmail.com ,[(0.001) SELECT "auth_user"."id". "auth_user"."password". "auth_user"."last_login". "auth_user"."is_superuser". "auth_user"."username". "auth_user"."first_name". "auth_user"."last_name". "auth_user"."email". "auth_user"."is_staff". "auth_user"."is_active". "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2; args=(2.)]
2019-07-12 16:28:48.461 ,jak ,yhgiikui@gmail.com ,[(0.001) SELECT "crud_userprofileinfo"."id". "crud_userprofileinfo"."user_id". "crud_userprofileinfo"."email". "crud_userprofileinfo"."position" FROM "crud_userprofileinfo" WHERE "crud_userprofileinfo"."id" = 2; args=(2.)]
2019-07-12 16:31:52.249 ,jak ,yhgiikui@gmail.com ,[(0.004) SELECT "django_session"."session_key". "django_session"."session_data". "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2019-07-12 16:31:52.239944' AND "django_session"."session_key" = '01x9z2p3jve96vmr8kdu6k20zfsj5sfe'); args=('2019-07-12 16:31:52.239944'. '01x9z2p3jve96vmr8kdu6k20zfsj5sfe')]
2019-07-12 16:31:52.256 ,jak ,yhgiikui@gmail.com ,[(0.001) SELECT "auth_user"."id". "auth_user"."password". "auth_user"."last_login". "auth_user"."is_superuser". "auth_user"."username". "auth_user"."first_name". "auth_user"."last_name". "auth_user"."email". "auth_user"."is_staff". "auth_user"."is_active". "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2; args=(2.)]
2019-07-12 16:31:52.265 ,jak ,yhgiikui@gmail.com ,[(0.001) SELECT "crud_userprofileinfo"."id". "crud_userprofileinfo"."user_id". "crud_userprofileinfo"."email". "crud_userprofileinfo"."position" FROM "crud_userprofileinfo" WHERE "crud_userprofileinfo"."id" = 2; args=(2.)]
2019-07-12 16:33:26.595 ,jak ,yhgiikui@gmail.com ,[(0.004) SELECT "django_session"."session_key". "django_session"."session_data". "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2019-07-12 16:33:26.582717' AND "django_session"."session_key" = '01x9z2p3jve96vmr8kdu6k20zfsj5sfe'); args=('2019-07-12 16:33:26.582717'. '01x9z2p3jve96vmr8kdu6k20zfsj5sfe')]
2019-07-12 16:33:26.602 ,jak ,yhgiikui@gmail.com ,[(0.001) SELECT "auth_user"."id". "auth_user"."password". "auth_user"."last_login". "auth_user"."is_superuser". "auth_user"."username". "auth_user"."first_name". "auth_user"."last_name". "auth_user"."email". "auth_user"."is_staff". "auth_user"."is_active". "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2; args=(2.)]
2019-07-12 16:33:26.610 ,jak ,yhgiikui@gmail.com ,[(0.001) SELECT "crud_userprofileinfo"."id". "crud_userprofileinfo"."user_id". "crud_userprofileinfo"."email". "crud_userprofileinfo"."position" FROM "crud_userprofileinfo" WHERE "crud_userprofileinfo"."id" = 2; args=(2.)]
2019-07-12 16:33:56.371 ,jak ,yhgiikui@gmail.com ,[(0.004) SELECT "django_session"."session_key". "django_session"."session_data". "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2019-07-12 16:33:56.361036' AND "django_session"."session_key" = '01x9z2p3jve96vmr8kdu6k20zfsj5sfe'); args=('2019-07-12 16:33:56.361036'. '01x9z2p3jve96vmr8kdu6k20zfsj5sfe')]
